id,observed_on,month,user_id,user_login,created_at,quality_grade,license,url,description,place_guess,latitude,longitude,coordinates_obscured,place_county_name,species_guess,scientific_name,state
79941,5/16/2012,5,3847,rpayne,2012-05-17 18:15:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/79941,Smallest one I've ever seen. I thought it was a speck of dirt. It makes me wonder about all the times I didn't see ones this small...,Chipman Hill,44.02654214,-73.15705721,FALSE,Addison,Ixodes scapularis,Ixodes scapularis,Vermont
88428,6/5/2012,6,2179,charlie,2012-06-06 00:42:02 UTC,research,CC0,http://www.inaturalist.org/observations/88428,"This is where i found it crawling on me, not where it jumped on.","New Haven River, Middlebury, Vermont, US",44.05742487,-73.17695904,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
6059053,4/23/2017,4,427732,elishakira,2017-05-02 23:11:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6059053,,"Ellington, CT, USA",41.9172826,-72.458236,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
245423,4/25/2013,4,3847,rpayne,2013-04-26 01:48:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/245423,,"Addison County, US-VT, US",44.016884,-73.178148,FALSE,Addison,Deer Tick,Ixodes scapularis,Vermont
415532,10/2/2013,10,2179,charlie,2013-10-02 22:15:11 UTC,research,CC0,http://www.inaturalist.org/observations/415532,Deer tick?  Haven't seen many this year but one is too many. ,"05753, Middlebury, VT, US",44.071826,-73.273003,FALSE,Addison,blacklegged tick (Ixodes scapularis),Ixodes scapularis,Vermont
6323717,5/21/2017,5,472324,jeweledweevil,2017-05-22 21:25:17 UTC,research,,https://www.inaturalist.org/observations/6323717,,"06013, Burlington, CT, US",41.7300617,-72.968903,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
6753462,6/22/2017,6,301819,max25,2017-06-22 13:33:13 UTC,research,,https://www.inaturalist.org/observations/6753462,,"06371, Old Lyme, CT, US",41.2959217,-72.32792,FALSE,New London,American Dog Tick,Dermacentor variabilis,Connecticut
6858261,6/30/2017,6,290840,jenkatja,2017-06-30 11:44:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6858261,,"54 Drumlin Rd, Simsbury, CT, US",41.8341867,-72.86293,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
7177920,7/21/2017,7,472324,jeweledweevil,2017-07-23 21:38:22 UTC,research,,https://www.inaturalist.org/observations/7177920,,"83–99 Bemis St, Plymouth, CT, US",41.6905667,-73.013131,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
648653,4/28/2014,4,3847,rpayne,2014-04-29 15:53:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/648653,One of ten found on my clothing during my hike.,United States,44.0465496,-73.24704951,TRUE,Addison,blacklegged tick,Ixodes scapularis,Vermont
2453105,12/5/2015,12,157522,jamesewelch,2015-12-05 21:53:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2453105,,"Dead Creek Wildlife, Addison, VT",44.075839,-73.351014,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
10684033,4/5/2018,4,69447,kellyfuerstenberg,2018-04-07 19:09:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10684033,Came in on a student's pant leg.,"New Haven County, US-CT, US",41.4550018,-72.788612,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
2967139,4/16/2016,4,3847,rpayne,2016-04-18 18:27:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2967139,,United States,44.1134218,-73.24561188,TRUE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
3092421,5/3/2016,5,3847,rpayne,2016-05-03 22:09:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3092421,,United States,44.11765172,-73.30504409,TRUE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
4278020,10/5/2016,10,13355,beeboy,2016-10-05 18:16:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4278020,,"1453 Route 30, Cornwall, VT, US",43.97783667,-73.20468833,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
5640859,4/5/2017,4,13355,beeboy,2017-04-10 19:42:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5640859,,"Middlebury College, Middlebury, VT, US",44.01165278,-73.171005,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
11735912,4/28/2018,4,48181,kevinliam,2018-04-29 12:59:05 UTC,research,CC0,https://www.inaturalist.org/observations/11735912,,"1541-1553 Stafford Rd, Storrs, CT 06268, USA",41.8233813,-72.311279,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
5936148,4/24/2017,4,13355,beeboy,2017-04-24 13:00:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5936148,,"1491 Route 30, Cornwall, VT, US",43.97758,-73.204895,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
7269528,7/29/2017,7,13355,beeboy,2017-07-30 00:20:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7269528,,"Middlebury College, Middlebury, VT, US",44.011925,-73.17112,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
12117966,5/3/2018,5,574660,sawyerb,2018-05-04 03:09:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/12117966,,"28 Main St, Amston, CT, US",41.6584083,-72.363603,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
8464833,10/19/2017,10,372233,pkm,2017-10-19 13:25:23 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/8464833,,"341 Weybridge St, Middlebury, VT, US",44.01514722,-73.176095,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
8730770,11/6/2017,11,372233,pkm,2017-11-08 16:03:33 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/8730770,,"Middlebury College, Middlebury, VT, US",44.01517778,-73.1762,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
11487632,4/26/2018,4,171171,ntepper,2018-04-27 13:08:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11487632,,"New Haven, VT, USA",44.17247802,-73.15246582,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
12780624,5/24/2018,5,3847,rpayne,2018-05-24 21:18:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12780624,,United States,44.15456326,-73.20091502,TRUE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
12328813,5/10/2018,5,37330,johnpand,2018-05-10 18:31:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12328813,Wood tick waiting for a host on the kitchen door frame,"132–398 N Colebrook Rd, Norfolk, CT, US",42.0265747,-73.136849,FALSE,Litchfield,,Dermacentor variabilis,Connecticut
12362069,5/11/2018,5,889569,ginger21,2018-05-11 21:16:48 UTC,research,,https://www.inaturalist.org/observations/12362069,,"Litchfield, CT  06759, Litchfield, CT, US",41.7565633,-73.184005,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
12457466,5/14/2018,5,953377,ahiruo,2018-05-14 19:24:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12457466,,"Fairfield County, US-CT, US",41.4160613,-73.307621,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
12481477,5/15/2018,5,950486,fedak,2018-05-15 15:04:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12481477,,"Fairfield County, US-CT, US",41.4200793,-73.27684,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
12481776,5/15/2018,5,950486,fedak,2018-05-15 15:13:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12481776,,"Fairfield County, US-CT, US",41.4198006,-73.277363,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
12481895,5/15/2018,5,950486,fedak,2018-05-15 15:17:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12481895,,"Fairfield County, US-CT, US",41.4197579,-73.277334,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
13625330,6/20/2018,6,19322,erint,2018-06-21 00:20:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13625330,,"370 Stonewall Dr, Bristol, VT, US",44.18419667,-73.03773617,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
17921125,10/22/2018,10,19322,erint,2018-10-29 00:50:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/17921125,,"312 Stonewall Dr, Bristol, VT, US",44.18385,-73.03790283,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
12502007,5/15/2018,5,289053,jwoitovich,2018-05-16 01:30:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12502007,Dog or Deer Tick?,"Cockaponset State Forest, Chester, CT, US",41.379186,-72.49509,FALSE,Middlesex,American Dog Tick,Dermacentor variabilis,Connecticut
22436805,4/13/2019,4,19322,erint,2019-04-13 22:44:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22436805,,"312 Stonewall Dr, Bristol, VT, US",44.18390333,-73.03775833,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
22935570,4/22/2019,4,19322,erint,2019-04-23 11:06:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22935570,"This tick is no longer with us...
","4783 Plank Rd, New Haven, VT, US",44.15297783,-73.14323333,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
25183472,5/15/2019,5,13355,beeboy,2019-05-15 21:58:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25183472,,"176–230 State Forest Rd, North Ferrisburgh, VT, US",44.22921167,-73.25343333,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
25801904,5/16/2019,5,12036,zaccota,2019-05-26 13:06:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25801904,,"190–258 States Prison Hollow Rd, Starksboro, VT, US",44.24538,-73.0635445,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
26078665,5/30/2019,5,962521,mboltz802,2019-05-30 20:40:31 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/26078665,,"2061 Hardscrabble Rd, Bristol, VT, US",44.18502774,-73.11914244,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
12531894,5/16/2018,5,516268,bobby23,2018-05-17 01:23:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/12531894,"Sneaky little bugger. This tick was found on the leaf of a marsh grass, poking through the planks of the very boardwalk I was hiking on. Remember to be careful out there!","06074, South Windsor, CT, US",41.8423635,-72.566331,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
12841713,5/26/2018,5,87203,cappaert,2018-05-26 23:11:48 UTC,research,,https://www.inaturalist.org/observations/12841713,,"West Hartford, CT, USA",41.766693,-72.748882,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
33313848,9/21/2019,9,1684775,deborah174,2019-09-24 14:22:17 UTC,research,,https://www.inaturalist.org/observations/33313848,,"Addison, VT 05491, USA",44.04025534,-73.27834716,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
13458924,6/15/2018,6,625006,dominicalbino,2018-06-15 20:00:54 UTC,research,,https://www.inaturalist.org/observations/13458924,,"2098 Hillside Rd, Storrs, CT 06269, USA",41.8059073,-72.254032,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
14025762,7/3/2018,7,18701,apgarm,2018-07-03 23:44:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14025762,,"9 Center St, Windsor, CT 06095, USA",41.8937442,-72.634369,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
14190026,7/8/2018,7,480931,lynnzb,2018-07-09 03:00:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14190026,,"24 Goose Hill Rd, Chester, CT, US",41.4099967,-72.451333,FALSE,Middlesex,American Dog Tick,Dermacentor variabilis,Connecticut
33621581,9/29/2019,9,13355,beeboy,2019-09-29 23:03:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/33621581,,"Addison County, US-VT, US",44.03715408,-73.27339499,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
14480790,7/18/2018,7,1051796,cscherer,2018-07-18 15:45:18 UTC,research,,https://www.inaturalist.org/observations/14480790,"Beautiful leg hair, I know","185 E Flat Hill Rd, Southbury, CT, US",41.4612826,-73.258764,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
14483846,7/18/2018,7,630155,andrewouellette,2018-07-18 17:25:38 UTC,research,,https://www.inaturalist.org/observations/14483846,,"3 Summit Dr, Burlington, CT, US",41.7856167,-72.938645,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
14582259,7/21/2018,7,1095224,marc_boudreaux,2018-07-21 20:27:08 UTC,research,,https://www.inaturalist.org/observations/14582259,,"150 Centre Pike, Eastford, CT, US",41.9463079,-72.120127,FALSE,Windham,American Dog Tick,Dermacentor variabilis,Connecticut
33630840,9/24/2019,9,1684775,deborah174,2019-09-30 02:13:15 UTC,research,,https://www.inaturalist.org/observations/33630840,Set on scotch tape to slow it down for pictures.  Found on me.,"Addison, VT 05491, USA",44.04020042,-73.27834222,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
33762013,10/1/2019,10,1684775,deborah174,2019-10-02 18:12:51 UTC,research,,https://www.inaturalist.org/observations/33762013,Taken off cat.,"Addison, VT 05491, USA",44.04018715,-73.2781888,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
22603073,4/17/2019,4,69447,kellyfuerstenberg,2019-04-17 12:50:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22603073,,"Connecticut, US",41.4541782,-72.800313,TRUE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
33872563,10/4/2019,10,1684775,deborah174,2019-10-05 02:20:05 UTC,research,,https://www.inaturalist.org/observations/33872563,Found on cat.,"Addison, VT 05491, USA",44.04024877,-73.27837944,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
23073069,4/25/2019,4,1033086,ericjones,2019-04-25 21:16:52 UTC,needs_id,,https://www.inaturalist.org/observations/23073069,,"23 Regency Ct, Southington, CT, US",41.6129283,-72.882705,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
33872669,10/4/2019,10,1684775,deborah174,2019-10-05 02:22:40 UTC,research,,https://www.inaturalist.org/observations/33872669,Found on cat.,"Addison, VT 05491, USA",44.04021231,-73.27837239,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
24840465,5/9/2019,5,1022565,forestgreenleaf,2019-05-09 15:56:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/24840465,What is the bug? It looks like a tick.,"7 Nutmeg Ln, East Hampton, CT 06424, USA",41.5806647,-72.521829,FALSE,Middlesex,American Dog Tick,Dermacentor variabilis,Connecticut
25439399,5/19/2019,5,792902,hentera,2019-05-20 13:07:27 UTC,research,,https://www.inaturalist.org/observations/25439399,,"Fairfield County, US-CT, US",41.4095801,-73.285293,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
25511738,5/21/2019,5,1723493,batnado,2019-05-21 17:31:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25511738,,"06268, Storrs Mansfield, CT, US",41.8146902,-72.23957,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
25515228,5/21/2019,5,1723493,batnado,2019-05-21 18:37:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25515228,"Possibly a female? Looked different than the last one, behavior was less bold (pulled in its legs when I touched it, the last one remained wiggly) ","06268, Storrs Mansfield, CT, US",41.8147698,-72.239594,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
25563940,5/22/2019,5,1776257,ryanhsu,2019-05-22 15:49:33 UTC,needs_id,,https://www.inaturalist.org/observations/25563940,,"Weston High School, Weston, CT, US",41.2096048,-73.376849,FALSE,Fairfield,Dog Ticks,Dermacentor variabilis,Connecticut
25564241,5/22/2019,5,1776296,matthewschreder,2019-05-22 15:55:05 UTC,research,,https://www.inaturalist.org/observations/25564241,,"Weston High School, Weston, CT, US",41.2096883,-73.376642,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
25585253,5/22/2019,5,1539599,brich,2019-05-22 22:08:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25585253,,"Wiggins Farm Dr, Simsbury, CT, US",41.859977,-72.813706,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
33872791,10/4/2019,10,1684775,deborah174,2019-10-05 02:27:25 UTC,research,,https://www.inaturalist.org/observations/33872791,Found on cat,"Addison, VT 05491, USA",44.04022635,-73.27836524,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
33872963,10/4/2019,10,1684775,deborah174,2019-10-05 02:31:17 UTC,research,,https://www.inaturalist.org/observations/33872963,Either mating or canabilistic?,"Addison, VT 05491, USA",44.04025175,-73.27830469,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
25898744,5/18/2019,5,1798539,mattbusse,2019-05-27 20:28:01 UTC,research,,https://www.inaturalist.org/observations/25898744,,"New Fairfield, CT 06812, USA",41.4886943,-73.506762,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
26468401,6/5/2019,6,1831738,emily838,2019-06-06 00:06:38 UTC,research,,https://www.inaturalist.org/observations/26468401,,"Litchfield, CT 06759, USA",41.7713647,-73.174428,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
33873117,10/4/2019,10,1684775,deborah174,2019-10-05 02:35:20 UTC,research,,https://www.inaturalist.org/observations/33873117,Female with male underneath.  Mating or canabalistic?  Picked off dog.,"Addison, VT 05491, USA",44.04022698,-73.27834011,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
26564845,6/7/2019,6,1842792,anonnamuss,2019-06-07 18:57:29 UTC,needs_id,,https://www.inaturalist.org/observations/26564845,,"22 Farm Hill Rd, Ridgefield, CT, US",41.2882483,-73.510828,FALSE,Fairfield,,Dermacentor variabilis,Connecticut
26580258,6/7/2019,6,1828543,carolynstearns,2019-06-08 00:17:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26580258,,"STORRS MANFLD, CT 06268, USA",41.7560463,-72.228607,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
26582383,6/7/2019,6,1844441,gaea1,2019-06-08 00:58:38 UTC,research,,https://www.inaturalist.org/observations/26582383,,"2 Nutmeg Ct, Ridgefield, CT, US",41.2879895,-73.513649,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
27017953,6/15/2019,6,1399452,jasonneely,2019-06-15 13:16:25 UTC,needs_id,,https://www.inaturalist.org/observations/27017953,,United States,42.1486719,-72.74451,TRUE,Hartford,Dog Ticks,Dermacentor,Connecticut
27180560,6/17/2019,6,37330,johnpand,2019-06-17 22:58:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27180560,,"06058, Norfolk, CT, US",42.0339643,-73.14585,FALSE,Litchfield,,Dermacentor variabilis,Connecticut
27281644,6/19/2019,6,1880975,dbenoit888,2019-06-19 18:50:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27281644,,"Litchfield County, US-CT, US",41.5091697,-73.316755,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
27405959,6/21/2019,6,653990,arthwys,2019-06-21 23:59:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27405959,,"Norfolk, CT, USA",41.9891815,-73.194519,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
33873258,10/4/2019,10,1684775,deborah174,2019-10-05 02:38:36 UTC,research,,https://www.inaturalist.org/observations/33873258,Found on cat.,"Addison, VT 05491, USA",44.04021187,-73.27836439,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
27598896,6/17/2019,6,419342,msmetana,2019-06-24 23:23:25 UTC,research,,https://www.inaturalist.org/observations/27598896,,"New Fairfield, CT 06812, USA",41.5258789,-73.488136,FALSE,Fairfield,American Dog Tick,Dermacentor variabilis,Connecticut
27698102,6/26/2019,6,824698,western-meadow,2019-06-26 15:33:25 UTC,research,,https://www.inaturalist.org/observations/27698102,,"Maple Tree Ln, East Lyme, CT, US",41.3531262,-72.221747,FALSE,New London,American Dog Tick,Dermacentor variabilis,Connecticut
27822113,6/28/2019,6,1880975,dbenoit888,2019-06-28 18:13:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27822113,,"Roxbury, CT 06783, USA",41.5091236,-73.316844,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
35208616,11/2/2019,11,13355,beeboy,2019-11-02 19:26:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/35208616,,"North Ferrisburgh, VT, US",44.22745833,-73.26078833,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
35208646,11/2/2019,11,13355,beeboy,2019-11-02 19:27:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/35208646,,"North Ferrisburgh, VT, US",44.23128833,-73.26347167,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
28212353,7/4/2019,7,1880975,dbenoit888,2019-07-05 02:35:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28212353,,"Roxbury, CT 06783, USA",41.508858,-73.317269,FALSE,Litchfield,American Dog Tick,Dermacentor variabilis,Connecticut
36037586,11/4/2019,11,1684775,deborah174,2019-11-24 23:28:10 UTC,research,,https://www.inaturalist.org/observations/36037586,Came in on animal.,"Addison, VT 05491, USA",44.0405048,-73.27846795,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
28553277,7/10/2019,7,1750857,bradyseven,2019-07-10 13:47:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28553277,,"566 Thompson St, East Haven, CT, US",41.3359333,-72.838683,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
29533213,7/25/2019,7,824698,western-meadow,2019-07-25 21:02:32 UTC,research,,https://www.inaturalist.org/observations/29533213,,"225 Boston Post Rd, East Lyme, CT, US",41.3686667,-72.221992,FALSE,New London,American Dog Tick,Dermacentor variabilis,Connecticut
30052969,8/2/2019,8,2054190,mikedig,2019-08-02 17:47:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/30052969,,"Bristol, CT 06010, USA",41.6482377,-72.960909,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
30878002,8/15/2019,8,925117,judyb63,2019-08-15 15:53:30 UTC,needs_id,,https://www.inaturalist.org/observations/30878002,,"7 Nutmeg Ln, East Hampton, CT, US",41.5804107,-72.521756,FALSE,Middlesex,Hard-backed Ticks,Dermacentor variabilis,Connecticut
36037744,11/4/2019,11,1684775,deborah174,2019-11-24 23:31:32 UTC,research,,https://www.inaturalist.org/observations/36037744,Came in on animal.,"Addison, VT 05491, USA",44.04053275,-73.2783838,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
36037882,11/3/2019,11,1684775,deborah174,2019-11-24 23:34:23 UTC,research,,https://www.inaturalist.org/observations/36037882,Came in on animal.,"Addison, VT 05491, USA",44.04024209,-73.27835932,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
36037967,11/3/2019,11,1684775,deborah174,2019-11-24 23:36:35 UTC,research,,https://www.inaturalist.org/observations/36037967,On the dog.,"Addison, VT 05491, USA",44.0402633,-73.27820845,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
36038005,11/3/2019,11,1684775,deborah174,2019-11-24 23:37:49 UTC,research,,https://www.inaturalist.org/observations/36038005,,"Addison, VT 05491, USA",44.04025583,-73.27830367,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
36038121,10/29/2019,10,1684775,deborah174,2019-11-24 23:40:51 UTC,research,,https://www.inaturalist.org/observations/36038121,,"Addison, VT 05491, USA",44.04035706,-73.27830702,FALSE,Addison,Eastern Black-legged Tick,Ixodes scapularis,Vermont
36597508,9/8/2019,9,2189850,charlotte289,2019-12-12 21:15:50 UTC,research,,https://www.inaturalist.org/observations/36597508,,"Storrs Mansfield, CT, US",41.8191445,-72.237217,FALSE,Tolland,American Dog Tick,Dermacentor variabilis,Connecticut
